SME,1/31/2022,4550,0,0,0,0,0,0,0.01,0.01,0.6,1,0,-1,0,-0.94,-1.37,-0.23,-0.23,-0.28,0.63,-0.99,nan,184,12,280,2.8,353,2.6,6,549,2.8,nan,nan,nan,nan,0.09,0.12,0.25,0.39,6034249149,0.86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SME,1/31/2022,4628,0,0,0,0,0,0,0.07,0.29,0.2,1,0,-1.19,-0.11,0.01,3.04,2.22,0.37,3.35,0.55,-0.99,nan,156,8.8,127,3.6,226,2.6,5,1336,6,nan,nan,nan,nan,0.09,0.12,0.25,0.39,5994537938,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SME,1/31/2022,8600,0,0,0,0,0,0,0.03,0.07,0.02,1,0,-2.72,0.23,0.05,-5.24,0.56,0.58,-0.33,-0.13,-0.96,nan,164,11,232,3.6,556,7.8,5,692,3.6,nan,nan,nan,nan,0.09,0.12,0.25,0.39,10648866148,0.79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SME,1/31/2022,9166,0,0,0,0,0,0,0.02,0.01,0.78,1,0,-4.7,0.37,0.38,1.55,-0.25,-0.66,0.47,-0.1,-0.98,nan,140,11,193,3.6,308,5.2,5,400,2.4,nan,nan,nan,nan,0.09,0.12,0.25,0.39,53396426346,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SME,1/31/2022,12129,0,0,0,0,0,0,0.01,0,0.7,1,0,-1.09,-0.02,0.16,-2.8,-0.34,0.84,0.05,0.19,-1,nan,101,6.6,498,7.2,694,10.4,5,380,2.4,nan,nan,nan,nan,0.09,0.12,0.25,0.39,9992000000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SME,1/31/2022,478,0,0,0,0,0,0,0.03,0.06,0.68,1,0,-1.9,0.1,0.54,-1.02,0,0.77,-0.56,-0.11,-1,nan,101,4.4,547,8,777,8.8,5,420,3.2,nan,nan,nan,nan,0.09,0.12,0.25,0.39,31530113000,0.84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SME,1/31/2022,394,0,0,0,0,0,0,0.05,0.02,0.72,1,0,-0.42,0.14,-0.03,-0.18,0.2,0.2,-0.73,0.24,-0.94,nan,190,11,353,5.4,1606,13,5,493,2.4,nan,nan,nan,nan,0.09,0.12,0.25,0.39,5400000000,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SME,1/31/2022,456,0,0,0,0,0,0,0.02,0.03,0.28,1,0,0.65,-0.37,-0.23,1.04,-0.45,-0.58,0.45,-0.22,-0.99,nan,138,11,138,3.6,238,5.2,5,865,4.8,nan,nan,nan,nan,0.09,0.12,0.25,0.39,4842922752,0.89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SME,1/31/2022,740,0,0,0,0,0,0,0.04,0.1,0.39,1,0,-0.99,0,-0.05,-0.5,-0.24,-1.05,-0.5,-0.48,-0.97,nan,156,12,257,2.8,451,5.2,10,879,4.2,nan,nan,nan,nan,0.09,0.12,0.25,0.39,6888500000,0.85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SME,1/31/2022,5605,0,0,0,0,0,0,0.06,0.06,0.13,1,0,0.14,0.13,-0.11,-0.07,0.11,0.11,2.83,0.12,-1,nan,130,8.8,394,7.2,1423,13,5,63,1.2,nan,nan,nan,nan,0.09,0.12,0.25,0.39,12327045800,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
